Results for Algorithm (1000 tests) :
ReadingRuntime (ns); SolverRuntime (ns); TotalRuntime (ns); NumberOfRectangles; ContainerWidth (int); ContainerHeight (int); ContainerArea (int); Coverage (%);
10281856;1938742245;1949024101;10000;3134;72;225648;99;
9775783;1931892678;1941668461;10000;4700;48;225600;99;
7212628;1945485145;1952697773;10000;3899;58;226142;99;
9827932;1949139063;1958966995;10000;4346;52;225992;99;
9492129;1913689455;1923181584;10000;3642;62;225804;99;
13271678;1952273872;1965545550;10000;4528;50;226400;99;
7694602;1986756767;1994451369;10000;3230;70;226100;99;
10144375;1962700715;1972845090;10000;4344;52;225888;99;
9372031;1954778558;1964150589;10000;3894;58;225852;99;
9751684;1892768607;1902520291;10000;4701;48;225648;99;
7711194;1941561795;1949272989;10000;4697;48;225456;99;
9942894;1965299821;1975242715;10000;3897;58;226026;99;
9672277;1913090937;1922763214;10000;4697;48;225456;99;
9755635;1941729301;1951484936;10000;3897;58;226026;99;
7870799;1980339792;1988210591;10000;5126;44;225544;99;
10310301;1927985920;1938296221;10000;3317;68;225556;99;
9647389;1924603013;1934250402;10000;2757;82;226074;99;
9932228;1899962667;1909894895;10000;3761;60;225660;99;
7202751;1929336633;1936539384;10000;4177;54;225558;99;
17914434;1963275134;1981189568;10000;3049;74;225626;99;
9271686;1945075071;1954346757;10000;4344;52;225888;99;
9759586;1904166905;1913926491;10000;4349;52;226148;99;
9899833;1934323092;1944222925;10000;3051;74;225774;99;
7220924;1924693087;1931914011;10000;3542;64;226688;99;
9835437;1955484533;1965319970;10000;4526;50;226300;99;
9610648;1950183999;1959794647;10000;5932;38;225416;99;
7182998;1960127684;1967310682;10000;4935;46;227010;99;
10206005;1916384955;1926590960;10000;5126;44;225544;99;
8844229;1952128490;1960972719;10000;4175;54;225450;99;
14742094;1920524009;1935266103;10000;2756;82;225992;99;
10126992;1926813379;1936940371;10000;4699;48;225552;99;
