Results for Algorithm (1000 tests) :
ReadingRuntime (ns); SolverRuntime (ns); TotalRuntime (ns); NumberOfRectangles; ContainerWidth (int); ContainerHeight (int); ContainerArea (int); Coverage (%);
7382899;1936192916;1943575815;10000;3321;68;225828;99;
10032968;1901721873;1911754841;10000;4349;52;226148;99;
7483639;1962454988;1969938627;10000;4179;54;225666;99;
10669411;1997952794;2008622205;10000;5933;38;225454;99;
8816575;1979379794;1988196369;10000;5124;44;225456;99;
9769858;1965654191;1975424049;10000;3896;58;225968;99;
10019536;1967904064;1977923600;10000;4529;50;226450;99;
10046795;1938869454;1948916249;10000;3321;68;225828;99;
10114745;2000620246;2010734991;10000;5124;44;225456;99;
9895882;1959475438;1969371320;10000;4348;52;226096;99;
10256968;1972157684;1982414652;10000;3640;62;225680;99;
7503788;2009363734;2016867522;10000;5934;38;225492;99;
10604621;1922443610;1933048231;10000;4346;52;225992;99;
7536578;1957750207;1965286785;10000;5124;44;225456;99;
10591584;1956318111;1966909695;10000;5124;44;225456;99;
7378158;1930753717;1938131875;10000;2981;76;226556;99;
10057856;1945693342;1955751198;10000;4178;54;225612;99;
7355640;1934528129;1941883769;10000;3431;66;226446;99;
10808078;1985363782;1996171860;10000;5370;42;225540;99;
7448874;1975279061;1982727935;10000;4346;52;225992;99;
11371039;1947171660;1958542699;10000;5368;42;225456;99;
7847886;2000886516;2008734402;10000;5122;44;225368;99;
11594644;1908637810;1920232454;10000;4178;54;225612;99;
7581220;2000591801;2008173021;10000;5125;44;225500;99;
10991780;1997196253;2008188033;10000;5932;38;225416;99;
7262010;1946946475;1954208485;10000;4042;56;226352;99;
9850845;1964318490;1974169335;10000;5932;38;225416;99;
8399786;1972295561;1980695347;10000;5126;44;225544;99;
10716818;1982484973;1993201791;10000;3897;58;226026;99;
9541907;1977197477;1986739384;10000;4176;54;225504;99;
10279486;1961926001;1972205487;10000;4181;54;225774;99;
9429710;1946517439;1955947149;10000;4698;48;225504;99;
7710799;1955411446;1963122245;10000;2980;76;226480;99;
11330348;1967150287;1978480635;10000;4344;52;225888;99;
7491541;1975350567;1982842108;10000;3639;62;225618;99;
11364323;2246216205;2257580528;10000;4699;48;225552;99;
8568872;2197026376;2205595248;10000;3539;64;226496;99;
12774296;2223850619;2236624915;10000;5368;42;225456;99;
7940330;2236869458;2244809788;10000;3639;62;225618;99;
13187530;2191345795;2204533325;10000;4702;48;225696;99;
11104374;2220328256;2231432630;10000;3760;60;225600;99;
13526097;2212178938;2225705035;10000;4699;48;225552;99;
13236122;2199448890;2212685012;10000;4697;48;225456;99;
9977660;2216284412;2226262072;10000;4178;54;225612;99;
15094489;2235466596;2250561085;10000;5126;44;225544;99;
11051435;2250662616;2261714051;10000;3896;58;225968;99;
14009257;2383174354;2397183611;10000;5369;42;225498;99;
8438897;2244662035;2253100932;10000;5368;42;225456;99;
14410243;2177318366;2191728609;10000;3321;68;225828;99;
12002347;2231132778;2243135125;10000;5128;44;225632;99;
12352766;2319732702;2332085468;10000;4702;48;225696;99;
19122135;2016973004;2036095139;10000;5369;42;225498;99;
7770848;2066352067;2074122915;10000;5126;44;225544;99;
10909213;1964565798;1975475011;10000;3637;62;225494;99;
7460726;1967445002;1974905728;10000;4179;54;225666;99;
10016770;1962932617;1972949387;10000;3319;68;225692;99;
10494399;1969243715;1979738114;10000;4344;52;225888;99;
8021712;2049925828;2057947540;10000;4042;56;226352;99;
10004524;1961703581;1971708105;10000;3643;62;225866;99;
