Results for Algorithm (1000 tests) :
ReadingRuntime (ns); SolverRuntime (ns); TotalRuntime (ns); NumberOfRectangles; ContainerWidth (int); ContainerHeight int); ContainerArea (int); Coverage (%);
7863294;2081940776;2089804070;10000;513;450;230850;97;
11458743;2066002438;2077461181;10000;509;450;229050;98;
7855392;2080180780;2088036172;10000;512;450;230400;97;
11416866;2122364203;2133781069;10000;511;450;229950;97;
7568973;2072362128;2079931101;10000;511;450;229950;97;
11917014;2045447021;2057364035;10000;509;450;229050;98;
8723736;2115733500;2124457236;10000;511;450;229950;97;
11809557;2060575486;2072385043;10000;510;450;229500;98;
7779935;2023761336;2031541271;10000;511;450;229950;97;
11322446;2086763286;2098085732;10000;510;450;229500;98;
7505763;1999357235;2006862998;10000;510;450;229500;98;
11422793;2071002328;2082425121;10000;513;450;230850;97;
10947139;2017775372;2028722511;10000;512;450;230400;97;
10680473;2041990633;2052671106;10000;508;450;228600;98;
10468720;2080941668;2091410388;10000;507;450;228150;98;
10554053;2020421095;2030975148;10000;511;450;229950;97;
7766899;1987945110;1995712009;10000;512;450;230400;97;
10631486;2095419070;2106050556;10000;509;450;229050;98;
9373216;2115302488;2124675704;10000;508;450;228600;98;
8187243;2104298066;2112485309;10000;509;450;229050;98;
10487683;2077449724;2087937407;10000;510;450;229500;98;
8394255;2075515900;2083910155;10000;510;450;229500;98;
10241560;2050621134;2060862694;10000;510;450;229500;98;
7813121;2058857760;2066670881;10000;510;450;229500;98;
10881163;1986124275;1997005438;10000;511;450;229950;97;
7318109;2087485852;2094803961;10000;508;450;228600;98;
11282150;2093006039;2104288189;10000;508;450;228600;98;
8111391;2119348307;2127459698;10000;509;450;229050;98;
12116520;2132067294;2144183814;10000;513;450;230850;97;
8533711;2037460075;2045993786;10000;510;450;229500;98;
10987831;2090020958;2101008789;10000;513;450;230850;97;
8254798;2035175832;2043430630;10000;509;450;229050;98;
12355137;2050079506;2062434643;10000;510;450;229500;98;
8130750;2035551929;2043682679;10000;512;450;230400;97;
10701806;2095908157;2106609963;10000;512;450;230400;97;
7810750;2043714284;2051525034;10000;509;450;229050;98;
11377755;2064778144;2076155899;10000;510;450;229500;98;
10765015;2043637248;2054402263;10000;511;450;229950;97;
10259733;2036951631;2047211364;10000;510;450;229500;98;
10232079;1998148349;2008380428;10000;508;450;228600;98;
7738059;2083142552;2090880611;10000;510;450;229500;98;
11537360;2083395391;2094932751;10000;511;450;229950;97;
10226943;2103453425;2113680368;10000;511;450;229950;97;
8030404;2113151776;2121182180;10000;513;450;230850;97;
11656668;2044168209;2055824877;10000;512;450;230400;97;
10027832;2079794411;2089822243;10000;509;450;229050;98;
10642942;2069781195;2080424137;10000;511;450;229950;97;
10680473;2073450917;2084131390;10000;508;450;228600;98;
8275341;2040725253;2049000594;10000;511;450;229950;97;
11636125;2092803372;2104439497;10000;509;450;229050;98;
8252033;2118989592;2127241625;10000;511;450;229950;97;
10509411;1959198896;1969708307;10000;510;450;229500;98;
8146156;2030102064;2038248220;10000;510;450;229500;98;
11667335;2011494694;2023162029;10000;510;450;229500;98;
